# entry-subent-pointer  : 31729--00-4-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], '0-G-0,PR,FY/DE,,MXW'] 
# incident energy       : 1.00e-04 MeV 
# target                : U-235 
# product               : G-0 
# level energy          : 4.20e-02 MeV 
# MF-MT number          : ? - 18 
# first author          : A.Oberstedt 
# institute             : (2SWDSWD): Sweden 
# reference             : (J,PR/C,87,051602,2013) 
# year                  : 2013 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/317/31729.x4 
# nds                   : https://nds.iaea.org/EXFOR/31729
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      3.93100E+00      0.00000E+00      1.18980E-07      4.92500E-08
      4.00200E+00      0.00000E+00      1.08400E-07      4.54030E-08
      4.07500E+00      0.00000E+00      1.00630E-07      4.26890E-08
      4.14800E+00      0.00000E+00      9.44180E-08      4.05840E-08
      4.22100E+00      0.00000E+00      8.50750E-08      3.70690E-08
      4.29600E+00      0.00000E+00      7.92370E-08      3.50350E-08
      4.37100E+00      0.00000E+00      7.47020E-08      3.35380E-08
      4.44600E+00      0.00000E+00      6.75110E-08      3.07980E-08
      4.52300E+00      0.00000E+00      6.31420E-08      2.93070E-08
      4.59900E+00      0.00000E+00      5.82360E-08      2.75190E-08
      4.67700E+00      0.00000E+00      5.17250E-08      2.49260E-08
      4.75500E+00      0.00000E+00      4.77970E-08      2.35180E-08
      4.83400E+00      0.00000E+00      4.41130E-08      2.22020E-08
      4.91400E+00      0.00000E+00      3.88030E-08      2.00190E-08
      4.99400E+00      0.00000E+00      3.44510E-08      1.82570E-08
      5.07400E+00      0.00000E+00      3.15810E-08      1.72370E-08
      5.15600E+00      0.00000E+00      2.83720E-08      1.60120E-08
      5.23800E+00      0.00000E+00      2.41330E-08      1.41410E-08
      5.32100E+00      0.00000E+00      2.16000E-08      1.32150E-08
      5.40400E+00      0.00000E+00      1.94670E-08      1.25200E-08
      5.48800E+00      0.00000E+00      1.64770E-08      1.12460E-08
      5.57300E+00      0.00000E+00      1.45160E-08      1.06540E-08
      5.65800E+00      0.00000E+00      1.20210E-08      9.65310E-09
      5.74400E+00      0.00000E+00      9.61160E-09      8.67220E-09
      5.83000E+00      0.00000E+00      7.57780E-09      7.98950E-09
      5.91800E+00      0.00000E+00      5.54970E-09      7.33730E-09
      6.00600E+00      0.00000E+00      3.55830E-09      6.70090E-09
      6.09400E+00      0.00000E+00      1.69290E-09      6.25820E-09
      6.18300E+00      0.00000E+00      0.00000E+00      0.00000E+00
      6.27300E+00      0.00000E+00      0.00000E+00      0.00000E+00
      6.36400E+00      0.00000E+00      0.00000E+00      0.00000E+00
      6.45500E+00      0.00000E+00      0.00000E+00      0.00000E+00
      6.54600E+00      0.00000E+00      0.00000E+00      0.00000E+00
      6.63900E+00      0.00000E+00      0.00000E+00      0.00000E+00
      6.73200E+00      0.00000E+00      0.00000E+00      0.00000E+00
      6.82600E+00      0.00000E+00      0.00000E+00      0.00000E+00
